"Name","National_Position","Club_Position","Rating","Height","Weight","Age","Work_Rate","Ball_Control","Vision","Goalkeeper","International","IMC"
"Cristiano Ronaldo","LS","LW",94,185,80,32,"High / Low",93,85,"NO","YES",23.3747260774288
"Lionel Messi","RW","RW",93,170,72,29,"Medium / Medium",95,90,"NO","YES",24.9134948096886
"Neymar","LW","LW",92,174,68,25,"High / Medium",95,80,"NO","YES",22.4600343506408
"Luis Suárez","LS","ST",92,182,85,30,"High / Medium",91,84,"NO","YES",25.6611520347784
"Manuel Neuer","GK","GK",92,193,92,31,"Medium / Medium",48,70,"YES","YES",24.6986496281779
"De Gea","GK","GK",90,193,82,26,"Medium / Medium",31,68,"YES","YES",22.0140137990282
"Robert Lewandowski","LS","ST",90,185,79,28,"High / Medium",87,78,"NO","YES",23.0825420014609
"Gareth Bale","RS","RW",90,183,74,27,"High / Medium",88,79,"NO","YES",22.096807907074
"Zlatan Ibrahimović",NA,"ST",90,195,95,35,"Medium / Low",90,83,"NO","NO",24.9835634451019
"Thibaut Courtois","GK","GK",89,199,91,24,"Medium / Medium",23,44,"YES","YES",22.9792176965228
"Jérôme Boateng","RCB","Sub",89,192,90,28,"Medium / Medium",72,76,"NO","YES",24.4140625
"Eden Hazard","LF","LW",89,173,74,26,"High / Medium",91,86,"NO","YES",24.7251829329413
"Luka Modrić",NA,"RCM",89,174,65,31,"High / Medium",92,90,"NO","NO",21.4691504822301
"Mesut Özil","CAM","CAM",89,180,76,28,"Medium / Low",90,93,"NO","YES",23.4567901234568
"Gonzalo Higuaín","Sub","ST",89,184,92,29,"High / Medium",85,70,"NO","YES",27.1739130434783
"Thiago Silva","Sub","LCB",89,183,79,32,"High / High",80,74,"NO","YES",23.5898354683627
"Sergio Ramos","LCB","LCB",89,183,75,31,"High / Medium",83,63,"NO","YES",22.3954134193317
"Sergio Agüero","Sub","ST",89,173,70,28,"High / Medium",89,83,"NO","YES",23.3886865581877
"Paul Pogba",NA,"LCM",88,191,84,24,"High / Medium",90,86,"NO","NO",23.025684602944
"Antoine Griezmann","CAM","RS",88,176,67,26,"High / Medium",86,76,"NO","YES",21.6296487603306
"Kevin De Bruyne","RCM","RCM",88,181,68,25,"High / High",86,88,"NO","YES",20.7563871676689
"Marco Reus",NA,"LW",88,182,76,27,"Medium / Medium",85,86,"NO","NO",22.9440888781548
"Alexis Sánchez","LW","ST",88,169,62,28,"High / High",86,82,"NO","YES",21.7079233920381
"Toni Kroos","LDM","LCM",88,182,78,27,"Medium / Medium",85,88,"NO","YES",23.5478806907378
"Diego Godín","LCB","LCB",88,185,73,31,"Medium / High",76,52,"NO","YES",21.3294375456538
"Mats Hummels","LCB","LCB",88,191,92,28,"High / Medium",77,79,"NO","YES",25.2186069460815
"Hugo Lloris","GK","GK",88,188,82,30,"Medium / Medium",34,30,"YES","YES",23.2005432322318
"Giorgio Chiellini","LCB","LCB",88,187,84,32,"Low / High",55,50,"NO","YES",24.021275987303
"Philipp Lahm",NA,"RB",88,170,66,33,"Medium / High",86,82,"NO","NO",22.8373702422145
